"date","title","status","total_price","price","shipping"
"[]","Sony WH-1000XM2/B Wireless Noise-Cancelli ng Over-Ear Headphones with Mic and Rem","Brand New","284.99","284.99","0.0"
"['Dec-25 08:01']","BRAND NEW SEALED Sony WH-1000XM2 Noise Cancelling Headphones - BLACK","Brand New","280.0","280.0","0.0"
"['Dec-25 05:41']","Sony WH-1000XM2 Noise Cancelling Bluetooth Headphones - BNIB","Brand New","289.0","289.0","0.0"
"['Dec-24 17:27']","SONY WIRELESS NOISE CANCELING STEREO HEADSET WH-1000XM2","Brand New","300.0","300.0","0.0"
"[]","Sony - WH-1000XM2 Wireless Over-the-Ear Noise Canceling Headphones Japan-Gold","Brand New","299.99","299.99","0.0"
"['Dec-23 18:30']","*BRAND NEW SEALED* Sony WH-1000XM2 Noise Cancelling Headphones Gold Priority Sh","Brand New","274.5","274.5","0.0"
"['Dec-23 16:54']","SONY WH-1000XM2 Noise Cancelling Headphones - GOLD","Brand New","270.0","270.0","0.0"
"['Dec-23 16:06']","Sony WH1000XM2B Black On-Ear Wireless Noise-Cancelin g Headphones - WH-1000XM2/B","Brand New","286.75","277.0","9.75"
"[]","NEW!! 2nd Generation Sony WH-1000XM2 WH1000XM2 Headphones-pri ority Ship -BLACK-","Brand New","283.0","269.5","13.5"
"['Dec-23 14:46']","Sony Wh-1000XM2 wireless Noise Canceling Headphones Bluetooth BRAND NEW SEALED","GOLD Headphones BRAND NEW SEALED Brand New","270.0","270.0","0.0"
"['Dec-23 12:48']","Sony WH-1000XM2 Wireless Noise Canceling Headset Black Brand New In Box","Brand New","279.14","269.95","9.19"
"[]","*NEW SEALED* Sony WH-1000XM2 Noise Cancelling Headphones - Black","Brand New","270.0","270.0","0.0"
"['Dec-23 07:45']","BRAND NEW SEALED Sony WH-1000XM2 Noise Cancelling Headphones black","Brand New","263.6","250.0","13.6"
"[]","NEW - Sony WH-1000XM2 Wireless Bluetooth Noise Cancelling Headphones - Black","Brand New","275.95","265.0","10.95"
"[]","*NEW SEALED* Sony WH-1000XM2 Noise Cancelling Headphones - Black","Brand New","270.0","270.0","0.0"
"[]","Brand New, Factory Sealed SONY WH-1000XM2 Noise Cancelling Headphones - GOLD","Brand New","258.88","258.88","0.0"
"['Dec-22 13:11']","Sealed Sony WH-1000XM2/B Wireless Bluetooth Noise Cancelling HiFi Headphones-BLK","Brand New","258.88","258.88","0.0"
"[]","Sony WH-1000XM2 Noise Cancelling Headphones Gold BRAND NEW SEALED Free Ship","Brand New","279.0","279.0","0.0"
"[]","Sony WH-1000XM2 Noise Cancelling Headphones BLACK BRAND NEW SEALED Free Ship","Brand New","279.0","279.0","0.0"
"['Dec-21 19:19']","Sony - 1000X mkII Premium Wireless Noise Cancelling Headphones - Gold BRAND NEW","Brand New","294.15","294.15","0.0"
"['Dec-21 10:33']","SONY WIRELESS NOISE CANCELING STEREO HEADSET WH-1000XM2","Brand New","320.13","295.99","24.14"
"['Dec-21 09:42']","Sony WH-1000XM2/N Wireless Bluetooth Noise Cancelling Hi-Fi Headphones","Manufacturer Refurbished | Warranty | 30 Day Returns Refurbished","299.99","299.99","0.0"
"[]","Sony WH-1000XM2/B Wireless Bluetooth Noise Cancelling Hi-Fi Headphones","Manufacturer Refurbished | Warranty | 30 Day Returns Refurbished","299.99","299.99","0.0"
"['Dec-21 03:08']","NEW!! 2nd Generation Sony WH-1000XM2 WH1000XM2 Headphones-pri ority Ship -BLACK","Brand New","285.0","285.0","0.0"
"['Dec-21 00:17']","BRAND NEW SEALED Sony WH-1000XM2 Noise Cancelling Headphones Gold","Brand New","263.6","250.0","13.6"
"[]","Sony WH-1000XM2/B Wireless Noise-Cancelli ng Over-Ear Headphones with Mic and Rem","Brand New","279.99","279.99","0.0"
"['Dec-20 20:05']","Sony WH-1000XM2 Wireless Noise Canceling Headset Black Brand New In Box","Brand New","279.14","269.95","9.19"
"[]","Excellent Condition -Sony WH-1000XM2 Bluetooth Noise Cancelling Hi-Fi Headphones","Pre-Owned","199.99","199.99","0.0"
"['Dec-20 11:22']","BRAND NEW SEALED Sony WH-1000XM2 Noise Cancelling Headphones Gold","Brand New","263.6","250.0","13.6"
"[]","SONY WH-1000XM2 NOISE CANCELLING HEADPHONES BLACK READY TO SHIP!!!","Brand New","270.0","260.0","10.0"
"['Dec-20 08:22']","Sony WH-1000XM2 Noise Cancelling Bluetooth Headphones - Gold","Brand New","269.95","269.95","0.0"
"[]","Sony WH-1000xm2 Gold","New (Other)","265.0","250.0","15.0"
"['Dec-19 23:10']","Sony WH-1000Xm2 Wireless Noise Canceling Headphones Newest edition!-Black","Brand New","285.0","285.0","0.0"
"['Dec-19 22:51']","SONY WH-1000XM2 Noise Cancelling Headphones - Black","Brand New","279.99","279.99","0.0"
"[]","Sony - WH-1000XM2 Wireless Over-the-Ear Noise Canceling Headphones - Gold","Brand New","298.99","298.99","0.0"
"[]","NEW SEALED Sony WH-1000XM2 Noise Cancelling Bluetooth Headphones - Gold PRIORITY","Brand New","289.99","289.99","0.0"
"['Dec-19 08:19']","~~NEW~~Sony WH-1000XM2 Noise Cancelling Bluetooth Headphones - FREE SHIPPING!!","Brand New","299.99","299.99","0.0"
"[]","Sony WH-1000XM2 Wireless Headphones - Black","Brand New","270.0","270.0","0.0"
"['Dec-18 17:39']","Sony Noise Cancelling Headphones WH1000XM2: Over Ear Wireless Bluetooth","New (Other)","229.99","229.99","0.0"
"[]","SONY WH-1000xm2 Wireless Noise Cancelling Headphones Bluetooth *SEALED*","Brand New","299.99","299.99","0.0"
"['Dec-18 15:50']","Sony WH1000XM2B Black On-Ear Wireless Noise-Cancelin g Headphones - WH-1000XM2/B","Brand New","315.75","306.0","9.75"
"[]","Sony WH-1000XM2 Black Wireless Noise Headphones","Pre-Owned","263.99","256.0","7.99"
"[]","Sony WH-1000XM2 Noise Cancelling Bluetooth Headphones - Gold","Brand New","289.0","289.0","0.0"
"['Dec-17 11:29']","Sony WH-1000XM2 Wireless Noise Cancelling Headphones","Pre-Owned","190.0","190.0","0.0"
"['Dec-17 10:32']","Sony WH-1000XM2 Noise Cancelling Headphones Gold Drand New","Brand New","289.75","280.0","9.75"
"['Dec-17 08:51']","Sony WH-1000XM2 Noise Cancelling Bluetooth Headphones - BNIB","Brand New","289.0","289.0","0.0"
"[]","NEW!! 2nd Generation Sony WH-1000XM2 WH1000XM2 Headphones-pri ority Ship -BLACK-","Brand New","303.0","289.5","13.5"
"['Dec-16 14:07']","","✔ AUTHORIZED DEALER ✔ 1 YEAR WARRANTY ✔ New (Other)","295.0","295.0","0.0"
"['Dec-16 09:12']","Sony WH-1000XM2 Headphones-Bla ck [USED PERFECT CONDITION]","Pre-Owned","284.99","284.99","0.0"
